,Stem.Wood.Density,Modulus.of.Elasticity,Branching.Distance,Branch.Diameter,Branching.Angle,Branch.Wood.Density,Vessel.Diameter,Lumen.Fraction,Conductivity.per.Sapwood.Area,Conductivity.per.Branch.Area,Vessel.Thickness.to.Span.Ratio,Leaf.Area,Leaf.Mass.per.Area,Leaf.Thickness,Leaf.Carbon.Concentration,Leaf.Nitrogen.Concentration,Leaf.Phosphorus.Concentration,Carbon.Isotope.Ratio,Root.Wood.Density,Specific.Root.Length
Acer.pensylvanicum,-0.714624531463613,-0.181253470051054,0.193495167136528,-0.0777849700471622,-0.583347087567696,-1.06316615699742,-0.122827352432624,-1.0171524137823,-0.739477258292094,-0.824191014005971,-0.852064582556161,1.20398509695911,-1.04687642383301,-0.818547112229336,-0.300505579677234,-0.0514355654730146,0.689283119766353,0.118488114002652,0.0925837170233162,-0.176689134359997
Acer.rubrum,-0.223726501688867,0.244557287954607,-0.298628543647929,0.141360965696617,-0.548377859439665,-0.324718867240833,-0.092270788431327,-1.05238819724549,-0.753785976660679,-0.60525105782862,-0.609049982817327,0.0848118189034112,0.0130798268396044,-0.228311478724904,1.06908765697898,-0.54607033405016,-0.130379873914677,-0.358637511817515,-0.067552055854551,-0.406337327211616
Acer.saccharum,0.966263572026772,0.811207084125015,0.137550040938114,-0.0553096595743189,-0.310149742267924,0.493433902839504,-0.297096897774278,-1.1055680316545,-0.796665332790923,-0.682111639278986,0.0808132422401001,0.521789750496172,-0.203028832185188,-0.784224188072343,0.248740771674571,-0.70290500632311,-0.658822541039815,-0.341844603626724,0.457973992940453,-0.591054446114879
Acer.spicatum,-0.756932198238043,0.0969892808187452,-0.0948643507004641,-0.488665610456635,-0.574486353029487,-0.796135976855344,-0.233675519038184,-1.15044241097418,-0.700118880350823,-0.693116217651907,-0.00670920323241743,0.271808009707955,-1.19328911015734,-0.538146423860969,0.182002436778306,0.000755391682083313,0.731270986813329,-0.177761627964787,0.317926964007154,0.876134433616155
Amelanchier.laevis,1.62602265630678,0.80871987834571,-0.202590694908694,-0.684835541688849,-0.239227051477434,1.43894376914889,-0.544076080765001,0.670082452262268,-0.434494100425073,-0.014822840720371,-0.94485206487427,-0.709064725238483,0.103199299065589,0.166345611829821,0.258381323256226,-0.44502863313275,-0.145945091011577,-0.10225095689631,1.7339159253616,-0.390186906376017
Betula.alleghaniensis,-0.305785178255638,0.0326834944491316,-0.24657268158881,-0.912162532315834,-0.0522889766301115,0.0427525048068082,0.0520810575728422,-0.887050012334627,-0.40148051191773,0.140900153329668,-0.265073467974226,-0.240365599364133,-0.762046168381368,-0.262024775049206,0.0126863282554653,0.225018048879266,-0.258585351365624,-1.19409780234355,0.226129139332682,-0.157112510080126
Betula.papyrifera,-0.556263512660522,0.385817886271865,0.151032296764328,-0.580061059520258,0.158499611903405,0.328468240834841,-0.905061183965066,-0.0829429446120057,-0.199906432496992,0.34751143016098,0.051014168588124,-0.354499568438225,0.231832876245038,0.399620396310549,-0.0518235255290424,-0.286325481056495,-0.369367306587856,-0.449704252061961,-0.532344249838859,1.08072350902685
Betula.populifolia,-0.664259138801851,-0.473563224191677,0.300558035110318,-0.92554826782302,-0.870355101208169,-0.0697239297700831,-0.10247814925711,-0.15514924137902,-0.156712091745577,0.389518226523081,-0.80567914052458,-0.948110819854425,0.430076259435492,0.404527405518082,1.07884232048245,0.732890544143986,0.599608893713204,0.288330634907219,-1.16257912387016,1.10888956660183
Carya.cordiformis.,0.965874797599126,0.824298220616715,1.17875461480027,1.42484986394935,-0.130558382504895,-0.746518554368401,2.03927056708405,-0.219956622766145,1.42546381993762,-0.590059553391693,1.25563514486706,2.23803477084076,-0.0598217716366364,-0.319732084917862,-0.653990274648752,0.0607459241771549,-0.580002018120512,0.109800171891582,-0.075780335621645,-1.08154616275331
Cornus.alternifolia,-0.443883164075848,-0.442651704438378,-0.001122811859245,-0.302081644207917,-0.273062546057084,-0.246453164679657,-0.0906508128926466,-0.188721488304206,-0.455626154212804,-0.23917536901091,-0.492599604265417,-0.603500597909438,-0.708101299898968,-0.440680024300845,-0.793066133791195,-0.219279127958234,-0.454987780530225,-0.448373026695317,0.0821689179304805,-1.52267399330824
Fagus.grandifolia,0.854864620743567,0.381377405042043,-0.305895430957206,-0.824842460904311,0.779339000473454,1.54255685444089,-0.258220467611449,0.096024856233612,-0.432508295347921,0.0559930979801583,-0.740239547044876,0.376593444110624,-1.03180066408328,-1.49775307266318,0.474143000551399,-0.242353368765604,-0.789003447845129,-0.815389377926488,0.298358283154331,-0.282993812674874
Fraxinus.americana,0.828030167058393,0.976311277185652,1.19455904040506,1.03727558619885,0.276507180108943,-0.734384237731753,1.92619172528763,0.918427597766807,2.18251665281853,-0.20659575825712,0.0966737197349427,1.87862010151889,-0.205641685999744,-0.777789721452544,-0.406658839480277,0.0790752563846438,-0.0568330082536653,-0.158638379913666,-0.0495833945813531,-0.781122537727999
Ostrya.virginiana,1.03179064238064,0.211769624034889,-0.780446387188017,-1.19033704101753,0.712147085578897,0.713751383109028,-0.431506871616131,-0.500684661403652,-0.19250195575155,0.431952264278356,0.201829821308429,-0.50091204992444,-0.906716336397287,-0.625450347478166,-0.244300215183289,-0.260644149451563,-0.915011303962221,-0.969803407374909,0.5575706024722,-0.400192187370753
Populus.balsamifera,-0.95254401129568,-0.536617084170385,-0.23293124066532,0.888654386196203,0.660903613521006,0.265905950298142,-0.330211519396454,0.378083753702925,-0.167950289811284,0.188025106605461,0.306347463268135,-0.14383307474149,1.32078764282579,1.76461901000733,0.581973103666348,-0.853255813728481,-0.875196671678828,0.0962956045157095,-0.0806961027944401,1.50722412448481
Populus.deltoides,-0.668699141005567,-1.10012007235937,0.894697261650966,0.287254055913439,-0.0437344186046107,0.00702644286067675,0.40888306184324,0.983865403391912,0.872633060364395,1.53357596616133,-0.361198885494199,-0.335736925128313,1.49614373145931,1.83982983597659,-0.651485434336634,-0.643735123802335,-0.764958633804073,1.0393210369728,-0.921288224859989,1.02083927709629
Populus.grandidentata,-1.30848127389811,-0.33676267612667,-0.150000968773677,0.960303616497878,0.554014023892115,-0.898512233716592,0.200590462237686,0.97243059426158,0.681728600034215,1.34225727183061,-0.934936419296234,-0.255263503062597,1.21219697830023,0.454506347476178,0.680703163292317,0.338688050508998,0.198257876653234,0.813657843618708,-0.0900836969924792,0.999533133572691
Populus.tremuloides,-0.982851186338247,0.42683240272262,-0.32847420755135,0.190372546559762,0.400622401007446,-0.366527633430036,-0.314491068796689,0.490080349117172,-0.157100979839385,0.31330526686873,-0.096708898701446,-0.677060710853357,1.25691900814288,0.733991231520655,1.01917071203003,0.153983120806937,0.182064338263343,0.591233388495587,-0.834448666310276,0.721582184798888
Prunus.pensylvanica,-0.42655898717914,-0.588835615231825,-0.396207610054501,-0.279589320334758,-0.278680997918784,0.25843273781708,-0.596429193001022,0.086584894374978,-0.249762308570218,0.269152357883747,-0.198744272108924,-1.30962748083789,0.282994592130399,-0.309356265180475,0.313330928845277,0.129539496587906,1.0728239292573,1.49300138822592,0.139910738184188,0.155867151607248
Prunus.serotina,0.464619347535122,-0.235372435401612,-0.286525707142006,-0.546565167695961,0.186345055431677,0.409850734461532,-0.624260367372973,-0.0772624628435113,-0.712940038459875,-0.330833673509137,0.205587179635834,-0.61008352879513,-0.402125942927198,0.203313988290926,-0.229550472289626,0.319725810900587,0.285637749955149,0.23442911807888,-0.484282046859956,-0.514869327810215
Prunus.virginiana,0.446726477923272,-0.788052029448929,-1.26106895739688,0.394040426949314,-0.472138493656791,0.350895397266483,-0.701596575782707,-0.169154394146221,-0.78731172880131,-0.485468854854771,0.0906572421773207,-1.59095431965674,0.282831361679622,0.387222698383128,-0.742867441100376,0.324400093505152,0.186449292034577,0.556075227751355,0.808072975434446,-0.27793665320472
Quercus.rubrum,0.750408300594567,0.602992755585891,0.462962746567397,0.926781098152815,0.100819536114418,0.811054294899711,1.99570057184735,-0.242074171332076,1.56789157370568,0.644315240688576,1.1249106613321,0.818284955140158,0.608584709562261,0.443884473031791,0.193898751634742,-0.180490289810776,-0.365849558309802,0.175811114352267,0.694048748010252,-0.490698456428888
